"Address","lon","lat","nr_5km","dist_1","area_voronoi","eventDate"
"542 Princes Highway, Kirrawee NSW 2232",151.0760722,-34.0322173,20,454.47888549686,853042.114501245,"2016-6-1"
"529-531 Princes Highway & Bath Road, Kirrawee NSW 2232",145.31361,-38.027666,1,35535.3389641176,NA,"2016-6-1"
"397 Main Road (Corner Lowry Street), Cardiff NSW 2285",151.6562059,-32.9339267,25,815.05743289292,NA,"2016-6-1"
"100 Woolooware Rd, Woolooware NSW 2230",151.1408431,-34.052747,12,978.512145889408,NA,"2016-6-1"
"200-202 Pennant Hills Rd, Thornleigh NSW 2120",151.0834619,-33.7278414,21,343.345560340477,2028404.78367388,"2016-6-1"
"358 Hoxton Park Rd, Prestons NSW 2170",150.8817251,-33.9282285,42,66.2958623875949,1231696.60472235,"2016-6-1"
"236-238 Condamine St, Manly Vale NSW 2093",151.2673818,-33.785027,21,1136.35754983525,NA,"2016-6-1"
"532 Old Northern Road, Dural NSW 2158",151.0201585,-33.6934905,10,913.027676742019,5748019.81561011,"2016-6-1"
"159 Imlay St, Eden NSW 2551",149.9044021,-37.063241,4,139.701350869321,345751398.773475,"2016-6-1"
"316 Camden Valley Way, Narellan NSW 2567",150.7354956,-34.0410694,12,259.4770210849,1943394.58575344,"2016-6-1"
"110 Lane Cove Rd, Ryde NSW 2112",151.1137633,-33.8014733,33,728.259005717924,1132278.03562615,"2016-6-1"
"Cnr Lennox & East Market Streets, Richmond NSW 2753",150.659035,-33.752755,19,563.905708281726,2119411.56026383,"2016-6-1"
"157 Narellan Rd (Cnr Smeaton Grange Rd), Mount Annan NSW 2567",150.7602302,-34.0467975,13,292.127953164401,3590075.79062152,"2016-6-1"
"337 West Street (Cnr Ocean Beach Road), Umina NSW 2257",151.3170285,-33.5210014,6,57.017294508904,15552030.1809001,"2016-6-1"
"646 Hume Hwy, Casula NSW 2170",150.8934788,-33.9564132,30,821.328258906311,3184369.0880363,"2016-6-1"
"269 Stewart Street, Bathurst NSW 2795",149.5681035,-33.4181477,13,136.384844351117,732161.126366735,"2016-6-1"
"37 Crystal St., Petersham NSW 2049",151.1587588,-33.8905087,68,202.505648403589,668085.327346507,"2016-6-1"
"155 The Entrance Rd, Erina NSW 2250",151.3793547,-33.4382424,15,608.449141261786,4952228.82128292,"2016-6-1"
"43 Macquarie Road, Cardiff NSW 2285",151.6578283,-32.9411475,31,815.05743289292,NA,"2016-6-1"
"295-297 Merrylands Road (Corner Windsor Street), Merrylands NSW 2160",150.9851817,-33.8353294,56,627.326606686776,1387537.01581509,"2016-6-1"
