"Address","lat","lon","remoteness","dist_to_coast"
"189 South Creek Rd, Cromer NSW 2099",-33.7361527,151.2803635,0,0.01414214
"Lot 6 Luxford Road, Mount Druitt NSW 2770",-33.7646334,150.8266994,0,0.3807887
"51 Roberts Road (Cnr Amarina St), Greenacre NSW 2190",-33.9001464,151.0659653,0,0.1029563
"51-63 Whylandra Street, Dubbo West NSW 2830",-32.2482705,148.592717,2.1,2.969512
"88 Murray Street, Cootamundra NSW 2590",-34.6363208,148.0250677,1.68,2.423902
"Coolamon St, Ariah Park NSW 2665",-34.3458446,147.2211983,3.93,3.270749
"37  Elizabeth St (Cnr Victoria  St), Wetherill Park NSW 2164",-33.8458699,150.8995603,0,0.2801785
"5 Tweed St, Brunswick Heads NSW 2483",-28.5381822,153.5487213,0.7,0.01
"214 Warringah Road, Beacon Hill NSW 2100",-33.7525722,151.2549098,0.008395133,0.04123105
"81 Pacific Hwy, CHARLESTOWN NSW 2290",-32.9671135,151.6955192,0,0.04
"2 Perricoota Rd, Moama NSW 2731",-36.1064024,144.7428063,1.3549356,1.748285
"Cnr. Glenmore Parkway & Main Street, Glenmore Park NSW 2745",-33.789914,150.668863,0,0.5099019
"210 Guildford road, Guildford NSW 2161",-33.8551556,150.9908562,0,0.1886796
"481 Pacific Highway, Wyoming NSW 2250",-33.4090378,151.3499812,0.1,0.1019804
"835 King Georges Road, South Hurstville NSW 2221",-33.9785931,151.1054985,0,0.03605551
"62 Walters Road, Blacktown NSW 2148",-33.7759669,150.8949673,0,0.3162278
"271 Camden Valley Way, NARELLAN NSW 2567",-34.0415946,150.7307572,0.042384177,0.31241
"1721 Pittwater Road, Mona Vale NSW 2103",-33.6803842,151.3023908,0,0.01
"211 Great Western Hwy, BLACKHEATH NSW 2785",-33.6375328,150.285362,0.42982587,0.917878
"129 River St Cnr Woodburn St, Woodburn NSW 2472",-29.0719877,153.3409495,1.54,0.09
"2137 Pacific Highway, Heatherbrae NSW 2324",-32.7983452,151.717716,0.14,0.1204159
"12 Hawkesbury Valley Way, Windsor NSW 2756",-33.6117931,150.8122158,0.06874361,0.4418144
"Great Western Highway, Marrangaroo NSW 2790",-33.4448372,150.1152589,1.0606847,1.146298
"208-212 Cabramatta Rd, Cabramatta West NSW 2166",-33.8957248,150.9367228,0,0.219545
"3 Thomas Rose Drive, Rosemeadow NSW 2560",-34.1000412,150.7987053,0,0.2280351
"321 Gardeners Rd, ROSEBERY NSW 2018",-33.9229812,151.2060166,0,0.03162277
"686 Snowy Mountains Highway, Cooma NSW 2630",-36.2455949,149.0534085,1.8199716,1.021078
"363 Windsor Rd (Cnr Olive St), Baulkham Hills NSW 2153",-33.7601992,150.9915984,0,0.2483948
"101 Campbelltown Rd, MINTO NSW 2566",-34.0237804,150.8351193,0,0.2545584
"320 Polding Street, Fairfield NSW 2165",-33.8630656,150.9469779,0,0.2280351
"151 Prospect Hwy & Corner Station Road, Seven Hills NSW 2147",-33.7690421,150.9427322,0,0.283196
"340 Pine Creek Way, Bonville NSW 2450",-30.375578,153.034493,2.324406,0.05
"10173 Newell Highway, Forbes NSW 2871",-33.400993,147.9855278,2.7182393,3.077613
"144 Wentworth Street, Port Kembla NSW 2505",-34.4838641,150.9049148,NA,0.01
"4 Martin St, WILCANNIA NSW 2836",-31.5623703,143.3760349,11.335666,5.549387
"Wilsons Road (Lake Macquarie Fair), Mount Hutton NSW 2290",-32.9844074,151.6710915,0,0.04472136
"131 Dawson Street, Lismore NSW 2480",-28.8128423,153.2782947,0.56,0.2662705
"114,Boundary Rd, Peakhurst NSW 2210",-33.9633195,151.0680491,0,0.07211103
"271-273 Camden Valle, Narellan NSW 2567",-34.0418514,150.7309568,0.042384177,0.31241
"250 Terrigal Dr (Cnr Bellbird Ave), Terrigal NSW 2260",-33.440229,151.4339202,0.1,0.01
"47 Railway Street, Weethalle NSW 2669",-33.8751155,146.6228813,7.7198706,4.016279
"52-54 Shoalhaven Heads Rd, Shoalhaven Heads NSW 2535",-34.8483362,150.7356922,0.73876375,0.02
"lot 8 Woodenbong Road, Bonalbo NSW 2469",-28.7380121,152.6289163,3.4912462,0.8766413
"16 Tait st, Smithfield NSW 2164",-33.8459354,150.9436208,0,0.2370654
"126-130 Mulgoa Road, Penrith NSW 2750",-33.7700301,150.6760776,0,0.5053712
"44 Cooper Street, Macksville NSW 2447",-30.7128688,152.9211714,2.76,0.06
"200 Homer St, Earlwood NSW 2206",-33.9270762,151.1285834,0,0.04242641
"Calrose Avenue, Coleambally NSW 2707",-34.7959028,145.8939614,5.195754,3.197515
"351-357 Stoney Creek, KINGSGROVE NSW 2208",-33.9513534,151.0924768,0,0.05830952
"39 Pangee St, NYNGAN NSW 2825",-31.56101,147.1914997,6.4717135,4.525881
