POA,resident_population,seifa_score
4385,1161,910.1617598
4387,1357,896.6713381
4388,487,919.7367567
4390,6816,982.3477448
4400,1819,969.8463512
4401,5470,918.2037218
4402,283,897.7061054
4403,791,984.0685158
4404,361,1009.100199
4405,13934,971.2867613
4406,1501,973.0475848
4407,676,975.0302935
4408,831,966.0802681
4410,1248,909.3725363
4411,319,1014.938302
4412,403,1017.620723
4413,6673,991.0735759
4415,1855,953.504021
4416,429,1025.54355
4417,739,963.7842707
4419,1057,976.7925029
4420,1089,953.3887101
4421,2207,808.9293168
4422,667,988.2952822
4424,216,967.9258893
4425,252,981.5031963
4427,211,866.1497232
4428,865,976.9234825
4454,986,988.9542136
4455,8513,1005.318154
4462,140,1009.932451
4465,1624,937.2858839
4468,303,973.7453443
4470,3723,946.7113575
4472,1592,937.2333895
4477,587,933.0892744
4478,617,964.8842074
4480,969,940.5240788
4481,352,947.369365
4486,709,937.1873873
4487,3293,949.1092051
4488,336,957.7846851
4490,1865,905.092775
4492,402,984.9286915
4494,188,1023.139932
4496,360,998.3936835
4497,381,980.0630545
4498,218,1014.037491
4500,37614,1038.275411
4501,5350,940.5567415
4502,8502,1025.499336
4503,34278,1004.249021
4504,16229,1059.255826
4505,18710,1006.826893
4506,19690,956.4971547
4507,17071,933.6726438
4508,19702,893.1174137
4509,19351,1082.396217
4510,42186,911.7685057
4511,8038,961.6391935
4512,3013,1031.03996
4514,5837,961.3628414
4515,3532,915.7861157
4516,3714,1029.555923
4517,600,918.2657377
4518,4779,1004.818133
4519,7556,971.7203431
4520,12229,1129.85521
4521,4465,1054.136737
4550,4169,970.7162897
4551,48872,987.7597874
4552,7779,994.7910048
4553,5299,1028.134259
4554,1809,1018.748116
4555,6678,1021.604722
4556,38700,1048.793074
4557,14371,1008.253125
4558,16707,956.7686222
4559,5941,1012.434342
4560,28040,969.5693455
4561,6582,996.5279829
4562,7210,1033.818211
4563,7929,990.8154037
4564,9856,994.4041254
4565,13962,962.5463821
4566,7118,1018.385573
4567,10352,1027.158403
4568,3348,978.8262598
4569,1455,929.5410562
4570,39106,917.1625933
4571,695,934.3811319
4572,3726,1023.445124
4573,21403,1028.65055
4574,1222,940.7508931
4575,21130,1011.474153
4580,4511,866.2137219
4581,1296,943.4811081
4600,956,899.8273943
4601,1063,924.0855422
4605,4691,828.5903519
4606,2127,897.303893
4608,881,934.6084487
4610,14484,941.9526171
4611,240,974.01125
4612,417,954.9788368
4613,491,856.4864844
4614,1232,854.3169358
4615,6853,874.2123532
4620,583,925.2191809
4621,1341,887.7087919
4625,3052,920.4922695
4626,2031,921.2927473
4627,622,839.1079448
4630,2608,946.6056579
4650,32895,899.9019193
4655,55281,918.8843903
4659,4131,880.3407679
4660,6755,901.2853718
4662,867,830.1504356
4670,77143,921.5741611
4671,5878,872.1252393
4673,484,913.4815077
4674,1371,848.0146489
4676,223,887.1389186
4677,3044,923.510928
4678,882,930.0110458
4680,50832,1020.494847
4694,241,928.7881885
4695,1281,927.9113959
4699,543,928.2888713
4700,18096,948.1870146
4701,42419,958.9637799
4702,25383,980.8152131
4703,20615,991.7729153
4705,428,1055.330261
4707,395,906.4291582
4709,1484,1071.815585
4710,3917,964.7779208
4711,1806,1065.509198
4712,259,839.0549345
4713,935,588.6880983
4714,3014,802.2926538
4715,7171,985.8152746
4716,987,1003.694545
4717,5108,1018.763748
4718,2583,987.4839312
4719,894,941.0079398
4720,13888,1054.132057
4721,3741,1010.364043
4722,1634,999.6529932
4723,1668,1015.990006
4724,569,986.9290746
4725,1653,977.9855192
4726,627,947.468415
4727,350,983.962248
4728,368,984.3571412
4730,3630,984.5291826
4731,216,952.0928529
4733,381,1039.195778
4735,957,887.6162782
4737,7653,965.2673581
4738,1104,957.9292708
4739,400,918.8729085
4740,79552,1010.517513
4741,8384,985.9291576
4742,1494,985.3619166
4743,1306,1035.361979
4744,8963,1053.825201
